year,source,province,gender,age_bin,age_lower,age_upper,circumcision,lower,upper
2011,SHIMS,Swaziland,Men,[18:49),18,49,0.17,0.162,0.184
2016,SHIMS2,Swaziland,Men,[18:49),18,49,0.28,0.26,0.304
