parameterization_id,ART Link Max,ART Link Mid,Base Infectivity,Infmrl Form Rate,Infrml Condom Mid,Infrml Condom Rate,Mrtl Condom Max,Mrtl Condom Mid,Mrtl Condom Rate,Mrtl Form Rate,PreART Link Max,PreART Link Mid,PreART Link Min,SeedYr HIGH,Sexual Debut Age Female Weibull Heterogeneity,Sexual Debut Age Female Weibull Scale,Sexual Debut Age Male Weibull Heterogeneity,Sexual Debut Age Male Weibull Scale,Swaziland: Infmrl Condoms Late,Swaziland: LOW Risk,Swaziland: Trns Condoms Late,Trns Condom Mid,Trns Condom Rate,Trns Form Rate,Male To Female Young,Male To Female Old,iteration_number,run_number,sim_id,likelihood
59,0.959864682,2010.451962,0.002289664,0.001215808,1991.430952,3.048632154,0.205452751,2001.034697,2.818065204,0.000509295,0.866273948,1995.135036,0,1983.073174,0.275038062,15.88557294,0.050243467,17.15946108,0.303731249,0.742148835,0.084953791,1997.566979,3.158053026,0.000136986,5.722446751,2.905167799,,30361,,1
60,0.953469174,2010.037555,0.002348638,0.001172861,1992.430974,2.794019601,0.210543454,2001.895077,2.128827682,0.00042323,0.79913828,1996.167905,0.054622537,1982.708335,0.280583721,16.63766221,0.042873799,17.15791433,0.309310502,0.740713798,0.12106565,1998.894294,3.026337816,0.000136986,4.526627074,2.75210785,,30781,,1
61,0.947816828,2010.731262,0.00228756,0.001418732,1990.948863,3.14856951,0.29000958,2001.791685,2.314737566,0.00030427,0.783316654,1994.119866,0.004757836,1984.416059,0.33899452,16.4315461,0.058218194,16.06255762,0.308343613,0.731774862,0.102982624,1996.73534,3.600286018,0.000136986,4.621983425,2.352304299,,13120,,1
62,0.951792162,2010.875955,0.00235,0.001495375,1991.792281,2.971442952,0.209368288,2002.418205,2.37832498,0.000359261,0.786199959,1996.916554,0,1983.187676,0.269222509,16.1982543,0.077462074,17.63559557,0.382213807,0.666022722,0.111371436,1995.720575,3.126390445,0.000142081,4.280243401,2.878246231,,60665,,1
63,0.947710218,2010.061476,0.00234287,0.00159038,1992.082497,2.697205118,0.215369729,2002.100909,2.2118375,0.00049801,0.860208937,1994.062641,0,1982.828598,0.263513339,16.04918857,0.04,17.74073851,0.439036995,0.720920258,0.110173413,1995.772651,3.159326771,0.000168322,4.796611541,2.628399552,,7874,,1
64,0.958266702,2010.660218,0.0023126,0.001627973,1992.519446,2.928281083,0.212503541,2001.58478,2.172015469,0.000485555,0.836935755,1994.493126,0,1982.264191,0.300349389,16.12635342,0.04,17.31236233,0.309312376,0.722039536,0.118472007,1996.077931,3.177311945,0.000145739,4.813583273,2.793147613,,23313,,1
65,0.944575914,2010.542947,0.002293385,0.00156154,1993.036372,2.968655271,0.223869392,2001.87735,2.598324183,0.000507904,0.81111491,1996.456717,0,1981.759847,0.323104505,16.24802365,0.04,16.77632994,0.339616507,0.758711128,0.105637581,1995.868242,2.42105059,0.000136986,4.802151687,2.480157425,,57125,,1
66,0.95210665,2010.706492,0.002340033,0.001401921,1992.290529,2.975147027,0.229848397,2001.596133,2.407892719,0.000446689,0.806797039,1994.037588,0.039970614,1982.02852,0.292428787,16.19804519,0.04709373,17.50521555,0.35244411,0.728733877,0.125747676,1996.74466,2.748043551,0.000136986,4.76844404,2.798647712,,5451,,1
67,0.956769587,2010.593164,0.002338782,0.001338164,1992.762902,2.97569898,0.244289021,2002.292968,2.312580149,0.000441933,0.794704519,1993.606195,0.048703269,1983.273182,0.328226778,16.35274785,0.041350885,17.51314036,0.323781173,0.724464175,0.035731153,1995.758595,2.794942159,0.000136986,5.140912948,3.15780805,,14674,,1
68,0.953904972,2010.644729,0.002312535,0.001429556,1992.420098,3.070345324,0.210200776,2002.394912,2.428168163,0.00044383,0.840275106,1994.652521,0.002160281,1982.005239,0.305029856,16.25022841,0.048774754,17.53785007,0.313218943,0.692055475,0.078976533,1997.186497,3.327512889,0.000136986,4.717822366,2.539857434,,41558,,1
69,0.954428255,2010.567055,0.002320371,0.00142644,1992.14474,3.076155418,0.204244576,2001.510752,2.461125264,0.000481226,0.799800918,1995.189932,0.011305831,1982.439656,0.322699535,16.39640513,0.046411759,17.53859362,0.324200676,0.737617906,0.10220258,1996.856644,3.117529844,0.000136986,4.814355418,3.049916815,,44174,,1
70,0.951020902,2010.984831,0.002339947,0.001328773,1993.26139,3.02513932,0.205293469,2001.851245,2.242162878,0.000491125,0.808788268,1995.148971,0.024424989,1982.634738,0.301700267,16.62207598,0.053059354,17.41389093,0.329944783,0.704702064,0.109922836,1994.969813,3.11289515,0.000136986,4.982244092,3.111450477,,51555,,1
71,0.943377062,2011,0.002290039,0.001414155,1994.397064,2.836206803,0.201415431,2001.519197,2.898785596,0.000697172,0.754489936,1994.086921,0,1983.800344,0.341248574,16.32107724,0.04,17.25684602,0.389056885,0.746234659,0.119418821,1996.767922,2.973272409,0.000136986,4.754709143,3.054436265,,16959,,1
72,0.946509836,2011,0.002332448,0.001068601,1992.756017,2.973176594,0.259262043,2002.676205,2.026043241,0.000222941,0.842499563,1995.233278,0,1982.832722,0.293474913,16.11051449,0.04,16.84611053,0.268375395,0.730103063,0.071523288,1995.119696,2.948679012,0.000136986,4.426654117,2.813087094,,32321,,1
73,0.966240946,2010.729838,0.00233725,0.002103328,1993.373554,3.002576084,0.194924454,2001.464054,2.712160514,0.000558482,0.873711598,1995.476629,0.041791414,1982.644107,0.272045422,15.94815969,0.04,17.2282559,0.319786635,0.738668829,0.132611593,1997.923133,2.955454383,0.000136986,4.895799246,2.911957013,,48548,,1
74,0.949827863,2010.692265,0.002332581,0.001440312,1992.615786,3.047244918,0.21277386,2001.166016,2.307561575,0.000543236,0.802429857,1995.490419,0.018344317,1982.15946,0.293736652,16.27580553,0.04,17.76829328,0.359444733,0.724410953,0.108049543,1996.516611,2.866805017,0.000136986,4.962949665,2.965499137,,12061,,1
75,0.953226726,2010.553614,0.002339805,0.001587583,1992.344444,3.052107188,0.224029384,2001.517112,2.297779885,0.000467905,0.817166155,1997.015486,0.039333948,1982.312908,0.32760631,16.4241753,0.04,17.49921209,0.337713145,0.747792694,0.115719758,1996.688646,3.219368617,0.000136986,4.923505744,2.927850012,,9632,,1
76,0.952457937,2010.175613,0.002311854,0.001326048,1992.786324,3.271775171,0.277425172,2001.238497,2.926076578,0.000476398,0.780697584,1995.309191,0.123779314,1982.686418,0.296838119,16.23263136,0.065065301,17.42837781,0.311886518,0.733518966,0.033259602,1997.460003,3.227034705,0.000136986,4.642138547,2.572855443,,62175,,1
77,0.949981903,2010.860731,0.002349047,0.001451244,1992.392563,2.904107559,0.227549832,2001.777716,2.464649582,0.000450374,0.807220868,1994.898378,0.0116065,1983.091944,0.291263245,16.38984787,0.041767705,17.45493648,0.329703433,0.7272954,0.106664745,1996.5515,3.011108093,0.000136986,4.666400866,2.829402215,,63050,,1
78,0.950329509,2009.994513,0.002317467,0.001343666,1992.599382,2.984484577,0.208178046,2002.090182,2.415285191,0.000473393,0.822358767,1996.748672,0.031183895,1982.272033,0.322411075,16.81135943,0.058122359,17.12600723,0.331138753,0.753229753,0.069069348,1996.958004,2.906862654,0.000136986,4.873489304,2.751287657,,36195,,1
79,0.946259496,2010.893008,0.00231169,0.001227599,1992.119589,3.049594964,0.221526763,2000.948551,2.55827084,0.000435925,0.778377388,1996.379069,0.022015449,1981.137194,0.302446907,16.30931122,0.051465041,17.15702027,0.31805483,0.734263312,0.091201337,1997.370181,2.975033901,0.000136986,5.443669869,2.960646055,,40752,,1
80,0.943416093,2011,0.002324825,0.001431111,1993.602877,2.934585405,0.163522283,2001.172393,2.33534949,0.000460961,0.803528175,1997.638463,0.05771758,1983.197738,0.319860829,15.91080202,0.04,18.06017871,0.361514424,0.741135885,0.073341317,1996.269109,3.061648414,0.000136986,5.183605499,3.234454966,,22856,,1
81,0.949194387,2010.319457,0.00235,0.001468491,1992.108999,2.912286895,0.250761528,2000.94354,2.485808186,0.000375001,0.774738584,1996.281327,0,1982.601013,0.312253054,16.5038991,0.074565326,17.79743045,0.36213235,0.712877114,0.069038013,1997.299457,2.930105568,0.000136986,5.187146822,2.958439154,,56391,,1
82,0.961261609,2010.215623,0.002297296,0.001624339,1992.478854,3.133473079,0.224202046,2002.308683,2.635463676,0.000498066,0.817607709,1996.160802,0,1983.726332,0.297710733,16.68446904,0.062470341,17.90338945,0.370856877,0.727154549,0.040216739,1996.815298,2.916997128,0.000136986,4.740517215,2.652027612,,8030,,1
83,0.943803419,2010.520253,0.00235,0.001500646,1991.771957,2.939329692,0.246458019,2001.466216,2.35377438,0.000464507,0.785728692,1996.36149,0,1983.01816,0.337567693,16.64024101,0.04,17.49129661,0.332445492,0.726989207,0.094908518,1997.925699,2.813761474,0.000136986,4.578795874,2.799248756,,50714,,1
84,0.948603993,2010.927433,0.00235,0.001421653,1992.407905,3.046225555,0.188516347,2001.98935,2.842969818,0.00045586,0.722262567,1995.299034,0.030309205,1981.983605,0.316659688,16.20785382,0.057169652,17.29823401,0.356778486,0.7449072,0.105952258,1996.455243,2.654943613,0.000136986,4.785366752,2.867059701,,64250,,1
85,0.953735318,2010.595457,0.002302272,0.0014037,1994.475071,2.973821837,0.226348823,2001.854168,2.104619072,0.000468153,0.807580233,1994.60832,0,1983.365435,0.296948653,16.33099895,0.066631826,17.4658948,0.311841629,0.732995885,0.097512787,1995.074294,3.085936255,0.000136986,5.120494795,3.014862465,,33591,,1
86,0.938378245,2010.562848,0.002335568,0.001504653,1993.072026,2.852421796,0.212378517,2002.344449,2.162251383,0.000467625,0.845622746,1996.178645,0,1982.525894,0.331122349,16.39751193,0.04,16.38172967,0.34761919,0.743889162,0.138198675,1994.855703,2.759307829,0.000136986,4.837262271,2.730128136,,50301,,1
87,0.94442795,2011,0.002349033,0.001582513,1991.938561,2.960144844,0.210491194,2002.503015,2.709653971,0.000472343,0.773587971,1992.425191,0,1982.747661,0.325474395,16.02277921,0.047786062,17.95841032,0.293624983,0.718980583,0.127268595,1994.672277,3.217597921,0.000136986,4.773614068,2.883770143,,59748,,1
88,0.949984683,2010.745762,0.00229028,0.001279933,1992.581367,2.995729375,0.176540437,2002.72977,2.543369758,0.000365027,0.843591948,1997.304066,0.013483976,1981.129528,0.31834976,16.06065023,0.04,17.71134158,0.355706967,0.684913099,0.15729695,1996.250464,3.02308424,0.000136986,4.769225791,3.135569934,,48894,,1
89,0.962014494,2010.475295,0.002322546,0.001281209,1994.546183,2.941769593,0.258647051,2000.875123,2.912498724,0.000412472,0.796249452,1997.194199,0.034141974,1982.45326,0.315255826,16.12880733,0.04,16.65040886,0.341565961,0.744818032,0.102853752,1996.079815,2.691225865,0.000136986,4.784215582,2.896457883,,23350,,1
90,0.964264327,2010.912028,0.002292916,0.001460158,1992.8832,2.904958751,0.236662643,2000.008109,2.44079753,0.000332714,0.874869272,1992.555782,0,1983.300572,0.317150581,16.51616937,0.04,17.73313072,0.306681454,0.740896453,0.179314666,1997.875013,3.137988099,0.000136986,4.435974571,2.943343719,,26562,,1
91,0.954925435,2011,0.002284015,0.001228125,1992.066357,3.077230788,0.2172462,2001.370687,2.186477342,0.000503106,0.827136696,1997.660035,0,1984.085893,0.331312827,16.3401917,0.057551545,17.40057089,0.356591931,0.710850187,0.072774975,1997.121176,3.540450227,0.000136986,5.427598866,2.885020015,,33441,,1
92,0.952272606,2010.67988,0.002329444,0.001528969,1992.525789,3.012496834,0.215846177,2001.854496,2.418434048,0.000457182,0.80620739,1995.744056,0.007256419,1982.552924,0.309592429,16.30228293,0.042494848,17.49452131,0.339119744,0.730405439,0.100701789,1996.680484,3.003583202,0.000136986,4.89377618,2.857881347,,7230,,1
93,0.95035766,2010.694464,0.002336221,0.001349896,1993.409736,3.061480287,0.237731444,2001.90429,2.240898521,0.000381036,0.882299281,1996.675313,0,1983.678246,0.313441905,16.23138997,0.04,17.3539593,0.334629317,0.734193487,0.07523717,1996.132586,2.827169268,0.000136986,4.667124783,2.893777257,,11865,,1
94,0.956585214,2011,0.002337145,0.001546173,1992.859509,2.964726354,0.160503148,2002.282816,2.851272083,0.000550389,0.766267618,1995.25387,0,1983.545426,0.295839812,16.44544579,0.051951902,17.40608722,0.311162447,0.711783299,0.156285352,1997.029349,2.948823065,0.000145223,4.888521843,2.376800326,,5650,,1
95,0.953162202,2010.814977,0.002343269,0.001510241,1992.486113,2.94312725,0.214978829,2001.857238,2.254297371,0.000501125,0.805806065,1995.976556,0,1982.865421,0.315959441,16.26474521,0.04,17.63690348,0.337075617,0.748884555,0.051618544,1996.057314,3.10084277,0.000170138,4.942193372,2.925172329,,39567,,1
