Scenario,Society__KP_Defaults.COMMERCIAL.Concurrency_Parameters.HIGH.Max_Simultaneous_Relationships_Female,Campaign
base_case,6,campaign_orig.json
prep_high_norestart_update7days_stratifiedcoverage,6,campaign_prep_high_norestart.json
prep_high_med_norestart_update7days_stratifiedcoverage,6,campaign_prep_high_med_norestart_stratifiedcoverage.json
prep_high_med_low_norestart_update7days_stratifiedcoverage,6,campaign_prep_high_med_low_norestart_stratifiedcoverage.json
